user_id,variant,converted
U001,Original page,1
U002,Original page,1
U003,Original page,1
U004,Original page,1
U005,Original page,1
U006,Original page,1
U007,Original page,1
U008,Original page,1
U009,Original page,1
U010,Original page,0
U011,Original page,0
U012,Original page,0
U013,Original page,0
U014,Original page,0
U015,Original page,0
U016,Original page,0
U017,Original page,0
U018,Original page,0
U019,Original page,0
U020,Original page,0
U021,Original page,0
U022,Original page,0
U023,Original page,0
U024,Original page,0
U025,Original page,0
U026,Original page,0
U027,Original page,0
U028,Original page,0
U029,Original page,0
U030,Original page,0
U031,Original page,0
U032,Original page,0
U033,Original page,0
U034,Original page,0
U035,Original page,0
U036,Original page,0
U037,Original page,0
U038,Original page,0
U039,Original page,0
U040,Original page,0
U041,Original page,0
U042,Original page,0
U043,Original page,0
U044,Original page,0
U045,Original page,0
U046,Original page,0
U047,Original page,0
U048,Original page,0
U049,Original page,0
U050,Original page,0
U051,Original page,0
U052,Original page,0
U053,Original page,0
U054,Original page,0
U055,Original page,0
U056,Original page,0
U057,Original page,0
U058,Original page,0
U059,Original page,0
U060,Original page,0
U061,Personalized page,1
U062,Personalized page,1
U063,Personalized page,1
U064,Personalized page,1
U065,Personalized page,1
U066,Personalized page,1
U067,Personalized page,1
U068,Personalized page,1
U069,Personalized page,1
U070,Personalized page,1
U071,Personalized page,1
U072,Personalized page,1
U073,Personalized page,1
U074,Personalized page,1
U075,Personalized page,1
U076,Personalized page,1
U077,Personalized page,1
U078,Personalized page,1
U079,Personalized page,0
U080,Personalized page,0
U081,Personalized page,0
U082,Personalized page,0
U083,Personalized page,0
U084,Personalized page,0
U085,Personalized page,0
U086,Personalized page,0
U087,Personalized page,0
U088,Personalized page,0
U089,Personalized page,0
U090,Personalized page,0
U091,Personalized page,0
U092,Personalized page,0
U093,Personalized page,0
U094,Personalized page,0
U095,Personalized page,0
U096,Personalized page,0
U097,Personalized page,0
U098,Personalized page,0
U099,Personalized page,0
U100,Personalized page,0
U101,Personalized page,0
U102,Personalized page,0
U103,Personalized page,0
U104,Personalized page,0
U105,Personalized page,0
U106,Personalized page,0
U107,Personalized page,0
U108,Personalized page,0
U109,Personalized page,0
U110,Personalized page,0
U111,Personalized page,0
U112,Personalized page,0
U113,Personalized page,0
U114,Personalized page,0
U115,Personalized page,0
U116,Personalized page,0
U117,Personalized page,0
U118,Personalized page,0
U119,Personalized page,0
U120,Personalized page,0
